score,mandatory_review,role_category,company,title,location,location_priority,years_min,years_max,is_internship,resume_to_use,ats_score,tailored,resume_file,source,ats,final_url,url
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=TvU1H2in8RGbqrT6omKJTg&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=TvU1H2in8RGbqrT6omKJTg&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Arrow Electronics,Senior Engineer - Device Testing - Testing WebRTC-based applications,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5868021801?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5868021801?utm_medium=api&utm_source=93a24393
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=7pvuH2in8RG_bprg_cIMVw&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=7pvuH2in8RG_bprg_cIMVw&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,SKIPS University,Assistant Professor of Computer Science,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5854366226?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=489820ACC755BE7FF58D67DE393566074CE57CC0,https://www.adzuna.in/land/ad/5854366226?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=489820ACC755BE7FF58D67DE393566074CE57CC0
70.0,1,other,Azilen Technologies,Lead Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5867036139?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=98099390F716A426181FA7C8F32610DFF4DFA4EE,https://www.adzuna.in/land/ad/5867036139?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=98099390F716A426181FA7C8F32610DFF4DFA4EE
70.0,1,other,Novo,Technical Lead,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864433220?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=29E07EF7DCE66CFA49659F8C73F0BE1F61F5470C,https://www.adzuna.in/land/ad/5864433220?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=29E07EF7DCE66CFA49659F8C73F0BE1F61F5470C
70.0,1,other,ASTEC,CAD Helpdesk Technician,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864427574?se=tFzkIGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=2DC4EA015D2DE1306596175EA42119944ACD5968,https://www.adzuna.in/land/ad/5864427574?se=tFzkIGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=2DC4EA015D2DE1306596175EA42119944ACD5968
70.0,1,other,SolGuruz Private Limited,AI/ML Engineer (WFO - Ahmedabad),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,50.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5868097306?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5868097306?utm_medium=api&utm_source=93a24393
70.0,1,swe,SolGuruz Private Limited,NodeJS Developer (WFO - Ahmedabad),"Ahmedabad, Gujarat",ahmedabad,3,4,0,analyst,60.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5868097304?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5868097304?utm_medium=api&utm_source=93a24393
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=EK-oIWin8RG9hZZomVLVEQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=EK-oIWin8RG9hZZomVLVEQ&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,PwC India,IN_Associate_SAP FICO_Enterprise Apps-SAP_Advisory_Ahmedabad,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461727479,https://www.linkedin.com/jobs/view/4461727479
70.0,1,other,Kraft Heinz,"Analyst III, Marketing Insights","Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/analyst-iii-marketing-insights-at-kraft-heinz-4461389751,https://www.linkedin.com/jobs/view/4461389751
70.0,1,other,Synoptek,Functional Consultant - Dynamics CRM - India,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4462409127,https://www.linkedin.com/jobs/view/4462409127
70.0,1,other,EY,Associate Consultant - Business Consulting Risk - AMI - CNS - Risk - Process & Controls - Ahmedabad,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4460458517,https://www.linkedin.com/jobs/view/4460458517
70.0,1,other,EY,Consultant - Business Consulting Risk - AMI - CNS - Risk - Process & Controls - Ahmedabad,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4460429438,https://www.linkedin.com/jobs/view/4460429438
70.0,1,other,NexisGrow Jobs & Internships,Integration Analyst at Cin7,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4462760036,https://www.linkedin.com/jobs/view/4462760036
70.0,1,other,Universal Masterbatch,ERP Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4460457330,https://www.linkedin.com/jobs/view/4460457330
90.0,0,analyst,AgriYuvaa,Business Analyst – Nature-Based Carbon,"Ahmedabad, Gujarat",ahmedabad,0,1,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5866922658?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5866922658?utm_medium=api&utm_source=93a24393
90.0,0,analyst,Acura Solution,Grant Thornton/Business Analyst/ Ahmedabad,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5728442696?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5728442696?utm_medium=api&utm_source=93a24393
90.0,0,analyst,Globant,Salesforce Business Analyst in Financial Services Cloud (FSC),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,50.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5868110344?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5868110344?utm_medium=api&utm_source=93a24393
90.0,0,swe,Post A Resume,Hiring BI Developer - Lead for Cloud based IT Company,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,50.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5727272194?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5727272194?utm_medium=api&utm_source=93a24393
90.0,0,swe,Azilen Technologies,Tech Lead - FullStack (ReactROR),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424190?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=162B77534E94320E93C34F18CC523B8D104E3AC3,https://www.adzuna.in/land/ad/5864424190?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=162B77534E94320E93C34F18CC523B8D104E3AC3
90.0,0,swe,Spectra Technovision  Pvt. Ltd.,Application Support Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864442760?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=20916213D9B1D4630C4525FB1A96EF76452AB2E3,https://www.adzuna.in/land/ad/5864442760?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=20916213D9B1D4630C4525FB1A96EF76452AB2E3
90.0,0,swe,Hyperlink Infosystem,Blockchain Developer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,50.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864426180?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=BF10EFAB8D537EF100F78D65214B6486430DEEC2,https://www.adzuna.in/land/ad/5864426180?se=EtN0IGin8RGuT8CQ_0SzRQ&utm_medium=api&utm_source=93a24393&v=BF10EFAB8D537EF100F78D65214B6486430DEEC2
90.0,0,swe,Vagaro,Director- Software Engineering,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5866922421?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5866922421?utm_medium=api&utm_source=93a24393
90.0,0,swe,MM Staffing & Career Consultants,Robotics Software Engineer for a RObotics company,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5727243469?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5727243469?utm_medium=api&utm_source=93a24393
90.0,0,swe,TutorsTap,Senior Software Engineering Mentor (Fully Remote),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5867360534?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5867360534?utm_medium=api&utm_source=93a24393
90.0,0,swe,SolGuruz Private Limited,Flutter Developer (WFO - Ahmedabad),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5868097329?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5868097329?utm_medium=api&utm_source=93a24393
90.0,0,swe,TIGI HR,.NET Core Developer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461397022,https://www.linkedin.com/jobs/view/4461397022
90.0,0,swe,Solvios,.Net Developer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4462168279,https://www.linkedin.com/jobs/view/4462168279
90.0,0,swe,Rajkot Job Openings,Dot Net Developer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4462713737,https://www.linkedin.com/jobs/view/4462713737
