score,mandatory_review,role_category,company,title,location,location_priority,years_min,years_max,is_internship,resume_to_use,ats_score,tailored,resume_file,source,ats,final_url,url
70.0,1,other,Hr Scaleup,Manual Tester,"Ahmedabad, Gujarat",ahmedabad,0,1,0,,,,,adzuna,company_site,https://www.adzuna.in/details/5843161436?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5843161436?utm_medium=api&utm_source=93a24393
70.0,1,other,S&P Global,"Apprentice, Metals & Mining (Data Operations)","Ahmedabad, Gujarat",ahmedabad,0,2,0,,,,,adzuna,company_site,https://www.adzuna.in/land/ad/5855429391?se=LqA-dnCl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=93a24393&v=7AA99D87331D941040CB83D02A1890B6B0509BCD,https://www.adzuna.in/land/ad/5855429391?se=LqA-dnCl8RGEeLI7Dotn4Q&utm_medium=api&utm_source=93a24393&v=7AA99D87331D941040CB83D02A1890B6B0509BCD
70.0,1,other,OSTTRA,"Apprentice, Metals & Mining (Data Operations)","Ahmedabad, Gujarat",ahmedabad,0,2,0,,,,,adzuna,company_site,https://www.adzuna.in/details/5856947534?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5856947534?utm_medium=api&utm_source=93a24393
70.0,1,other,Infineon Technologies,Principal Engineer Software,"Ahmedabad, Gujarat",ahmedabad,0,2,0,,,,,adzuna,company_site,https://www.adzuna.in/details/5862346240?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5862346240?utm_medium=api&utm_source=93a24393
70.0,1,other,Kraft Heinz,"Analyst I, Global Procurement Solutions","Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461219507,https://www.linkedin.com/jobs/view/4461219507
70.0,1,other,Kraft Heinz,"Analyst, Operational Buyer GPS","Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461231356,https://www.linkedin.com/jobs/view/4461231356
70.0,1,other,Adani Natural Resources,Manager – Business Digital,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461075585,https://www.linkedin.com/jobs/view/4461075585
70.0,1,other,SourcingXPress,Senior Data Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4459687921,https://www.linkedin.com/jobs/view/4459687921
70.0,1,other,Amazon,"Team Lead - AMZL , ATSPL - GJ","Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/team-lead-amzl-atspl-gj-at-amazon-4461079929,https://www.linkedin.com/jobs/view/4461079929
70.0,1,other,PwC India,IN_Senior Manager_SAP MM_Enterprise Apps SAP_Advisory_Ahmedabad,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/in-senior-manager-sap-mm-enterprise-apps-sap-advisory-ahmedabad-at-pwc-india-4461089232,https://www.linkedin.com/jobs/view/4461089232
70.0,1,other,The Premier Consultants ( Recruitment Company ),AI Adoption Specialist,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461079974,https://www.linkedin.com/jobs/view/4461079974
70.0,1,other,Lantern Digital,Performance Marketing Specialist,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/performance-marketing-specialist-at-lantern-digital-4458899996,https://www.linkedin.com/jobs/view/4458899996
70.0,1,other,Anblicks,Solution Architect,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/solution-architect-at-anblicks-4459212416,https://www.linkedin.com/jobs/view/4459212416
70.0,1,other,Azilen Technologies,Lead Data Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4461071827,https://www.linkedin.com/jobs/view/4461071827
70.0,1,other,Accenture in India,Packaged/SaaS Application Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/packaged-saas-application-engineer-at-accenture-in-india-4461204687,https://www.linkedin.com/jobs/view/4461204687
70.0,1,other,Armakuni,AI ML Lead / Gen AI Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,,,,,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/ai-ml-lead-gen-ai-engineer-at-armakuni-4458895794,https://www.linkedin.com/jobs/view/4458895794
90.0,0,analyst,ScoutforU Consultants,Business Analyst,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,,,,adzuna,company_site,https://www.adzuna.in/details/5727187360?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5727187360?utm_medium=api&utm_source=93a24393
90.0,0,analyst,WeblineIndia,Business Analyst,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,,,,adzuna,company_site,https://www.adzuna.in/details/5861794201?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5861794201?utm_medium=api&utm_source=93a24393
90.0,0,analyst,WeblineIndia,Business Analyst,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,,,,adzuna,company_site,https://www.adzuna.in/details/5861794160?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5861794160?utm_medium=api&utm_source=93a24393
90.0,0,analyst,Mantras2Success,Business Analyst (BA),"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/details/5729656944?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5729656944?utm_medium=api&utm_source=93a24393
90.0,0,analyst,Miracle HR Solution,Manager- Projects & Business Analysts - Ahemdabad,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,,,,adzuna,company_site,https://www.adzuna.in/details/5738057300?utm_medium=api&utm_source=93a24393,https://www.adzuna.in/details/5738057300?utm_medium=api&utm_source=93a24393
