score,mandatory_review,role_category,company,title,location,location_priority,years_min,years_max,is_internship,resume_to_use,ats_score,tailored,resume_file,source,ats,final_url,url
90.0,1,swe,eInfochips ,Senior Java Software Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,swe,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876028908?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=BBCB40BA47D1831F6513B872046E15A989986817,https://www.adzuna.in/land/ad/5876028908?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=BBCB40BA47D1831F6513B872046E15A989986817
90.0,1,swe,Parshva Corp dba Aavgo,Senior Engineering Manager,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,100.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876025423?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=97C00658010004E273FF1A0D17CB9657A5E032AD,https://www.adzuna.in/land/ad/5876025423?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=97C00658010004E273FF1A0D17CB9657A5E032AD
90.0,1,swe,Advanced Clinical,Senior Technical Programmer (Ahmedabad only),"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/senior-technical-programmer-ahmedabad-only-at-advanced-clinical-4458664599,https://www.linkedin.com/jobs/view/4458664599
90.0,1,swe,United HR Solutions Pvt. Ltd.,Principal Full Stack AI Engineer,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4465606836,https://www.linkedin.com/jobs/view/4465606836
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=TnSKW-ms8RGsYreRvtk7lg&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=TnSKW-ms8RGsYreRvtk7lg&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,other,Acclime,Senior Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864424833?se=5MiAXOms8RGkC8MSsSl4kA&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA,https://www.adzuna.in/land/ad/5864424833?se=5MiAXOms8RGkC8MSsSl4kA&utm_medium=api&utm_source=93a24393&v=A87CE857374FFE8579B824B7C2F13300EE0C43AA
70.0,1,swe,Tipsons Group,Senior Software Engineer,"Ahmedabad, Gujarat",ahmedabad,4,6,0,swe,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_SWE.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876873179?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=BDBAF6A8FD29C9D7CA4CDD99AB82240F29DF521C,https://www.adzuna.in/land/ad/5876873179?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=BDBAF6A8FD29C9D7CA4CDD99AB82240F29DF521C
70.0,1,other,MSBC Group,Solutions Architect,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876027335?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=19E1900E6A09D60BC6131DEB4B89D7FF03A7F39E,https://www.adzuna.in/land/ad/5876027335?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=19E1900E6A09D60BC6131DEB4B89D7FF03A7F39E
70.0,1,other,Armakuni,Senior Technical Project Manager,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,0.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5872265972?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=D60DD04C0705A94FAA595F62A416267A3CEF45EF,https://www.adzuna.in/land/ad/5872265972?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=D60DD04C0705A94FAA595F62A416267A3CEF45EF
70.0,1,other,Azilen Technologies,Lead Data Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5867036139?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=98099390F716A426181FA7C8F32610DFF4DFA4EE,https://www.adzuna.in/land/ad/5867036139?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=98099390F716A426181FA7C8F32610DFF4DFA4EE
70.0,1,other,Novo,Technical Lead,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864433220?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=29E07EF7DCE66CFA49659F8C73F0BE1F61F5470C,https://www.adzuna.in/land/ad/5864433220?se=3DlOXems8RGU-4IBzdOz8g&utm_medium=api&utm_source=93a24393&v=29E07EF7DCE66CFA49659F8C73F0BE1F61F5470C
70.0,1,other,Eternal Robotics,Project Manager,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876872046?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=ABFDD66695950528159AFE0D5774840B1D377E17,https://www.adzuna.in/land/ad/5876872046?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=ABFDD66695950528159AFE0D5774840B1D377E17
70.0,1,other,ASTEC,CAD Helpdesk Technician,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5864427574?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=2DC4EA015D2DE1306596175EA42119944ACD5968,https://www.adzuna.in/land/ad/5864427574?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=2DC4EA015D2DE1306596175EA42119944ACD5968
70.0,1,other,Artech L.L.C.,Packaged/SaaS Application Engineer,"Ahmedabad, Gujarat",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,adzuna,company_site,https://www.adzuna.in/land/ad/5876028157?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=6089767045948EFCD0EECA302295B909D241AC41,https://www.adzuna.in/land/ad/5876028157?se=or0DXums8RGxxJIBlTg-jQ&utm_medium=api&utm_source=93a24393&v=6089767045948EFCD0EECA302295B909D241AC41
70.0,1,other,Talod Foods,Business Operations Executive,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/business-operations-executive-at-talod-foods-4463030376,https://www.linkedin.com/jobs/view/4463030376
70.0,1,other,Adani Natural Resources,Lead – F&A,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/lead-%E2%80%93-f-a-at-adani-natural-resources-4438207114,https://www.linkedin.com/jobs/view/4438207114
70.0,1,other,Amneal Pharmaceuticals,"Deputy Manager, Finance Planning & Analysis","Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4465308062,https://www.linkedin.com/jobs/view/4465308062
70.0,1,other,Mahila Housing Trust,Senior Associate – Urban Climate Resilience,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4463848024,https://www.linkedin.com/jobs/view/4463848024
70.0,1,other,Ishan Technologies,Database Administrator,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4463058916,https://www.linkedin.com/jobs/view/4463058916
70.0,1,other,Alstom,Site GSI Leader,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://www.linkedin.com/jobs/view/4463418682,https://www.linkedin.com/jobs/view/4463418682
70.0,1,other,Arrow Electronics,Senior Cloud Engineer/Lead – Multi-Cloud Platform,"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/senior-cloud-engineer-lead-%E2%80%93-multi-cloud-platform-at-arrow-electronics-4464636166,https://www.linkedin.com/jobs/view/4464636166
70.0,1,other,Codal,Sr. React Native (iOS Swift and Objective C),"Ahmedabad, Gujarat, India",ahmedabad,0,2,0,analyst,70.0,False,/home/runner/work/job_pipeline/job_pipeline/resumes/VedangTrivedi_Analyst.pdf,jobspy:linkedin,linkedin,https://in.linkedin.com/jobs/view/sr-react-native-ios-swift-and-objective-c-at-codal-4463436420,https://www.linkedin.com/jobs/view/4463436420
